"period","final_category","n_teachers","teachers_before","rate_pct"
"Pre-COVID (2017-2019)","Non-academic courses",88,10108,0.87
"Pre-COVID (2017-2019)","Coaching & curriculum leadership",50,10108,0.49
"Pre-COVID (2017-2019)","Counseling & student support",43,10108,0.43
"Pre-COVID (2017-2019)","Interventionist / specialist",32,10108,0.32
"Pre-COVID (2017-2019)","Other teaching roles",29,10108,0.29
"Pre-COVID (2017-2019)","Administration",25,10108,0.25
"Pre-COVID (2017-2019)","Other",11,10108,0.11
"Pre-COVID (2017-2019)","Pre-K",4,10108,0.04
"Post-COVID (2024-2026)","Non-academic courses",247,9919,2.49
"Post-COVID (2024-2026)","Coaching & curriculum leadership",192,9919,1.94
"Post-COVID (2024-2026)","Interventionist / specialist",81,9919,0.82
"Post-COVID (2024-2026)","Other teaching roles",58,9919,0.58
"Post-COVID (2024-2026)","Administration",41,9919,0.41
"Post-COVID (2024-2026)","Counseling & student support",36,9919,0.36
"Post-COVID (2024-2026)","Other",34,9919,0.34
"Post-COVID (2024-2026)","Pre-K",8,9919,0.08
